hue\lightness,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,99
260,0.00 ,10.52 ,21.02 ,31.32 ,38.40 ,44.79 ,50.44 ,55.21 ,59.56 ,60.58 ,57.08 ,52.55 ,47.49 ,41.59 ,35.63 ,29.50 ,23.35 ,17.21 ,11.06 ,4.92 ,0.00 
265,0.00 ,11.47 ,22.85 ,33.42 ,41.13 ,47.91 ,53.71 ,58.17 ,61.68 ,61.03 ,56.64 ,51.82 ,46.59 ,40.76 ,34.89 ,28.89 ,22.87 ,16.86 ,10.84 ,4.82 ,0.00 
270,0.00 ,12.90 ,25.52 ,36.44 ,44.76 ,51.80 ,57.53 ,61.52 ,63.78 ,61.51 ,56.57 ,51.48 ,46.05 ,40.26 ,34.43 ,28.51 ,22.58 ,16.64 ,10.70 ,4.75 ,0.00 
275,0.00 ,14.99 ,28.99 ,40.52 ,49.47 ,56.57 ,61.85 ,65.18 ,65.79 ,62.12 ,56.85 ,51.50 ,45.92 ,40.09 ,34.25 ,28.37 ,22.47 ,16.56 ,10.65 ,4.73 ,0.00 
280,0.00 ,18.03 ,33.37 ,45.74 ,55.33 ,62.23 ,66.59 ,68.92 ,67.70 ,62.98 ,57.49 ,51.89 ,46.15 ,40.26 ,34.37 ,28.47 ,22.55 ,16.63 ,10.70 ,4.76 ,0.00 
285,0.00 ,22.25 ,38.80 ,52.09 ,62.38 ,68.69 ,71.65 ,72.58 ,69.58 ,64.17 ,58.48 ,52.62 ,46.70 ,40.73 ,34.76 ,28.78 ,22.81 ,16.83 ,10.84 ,4.84 ,0.00 
290,0.00 ,27.58 ,45.26 ,59.34 ,70.29 ,75.65 ,76.88 ,76.07 ,71.53 ,65.68 ,59.73 ,53.65 ,47.57 ,41.48 ,35.39 ,29.30 ,23.21 ,17.13 ,11.04 ,4.95 ,0.00 
295,0.00 ,33.51 ,52.42 ,66.99 ,78.42 ,82.64 ,81.90 ,79.27 ,73.60 ,67.42 ,61.20 ,54.96 ,48.72 ,42.48 ,36.24 ,29.99 ,23.75 ,17.51 ,11.26 ,5.01 ,0.00 
300,0.00 ,39.07 ,59.72 ,74.45 ,86.15 ,89.12 ,86.38 ,82.09 ,75.75 ,69.33 ,62.91 ,56.50 ,50.08 ,43.66 ,37.24 ,30.82 ,24.40 ,17.98 ,11.56 ,5.14 ,0.00 
305,0.00 ,43.18 ,66.44 ,80.77 ,92.48 ,94.42 ,89.99 ,84.49 ,77.91 ,71.33 ,64.73 ,58.12 ,51.52 ,44.92 ,38.31 ,31.71 ,25.10 ,18.50 ,11.89 ,5.28 ,0.00 
310,0.00 ,44.84 ,71.46 ,84.61 ,95.82 ,97.92 ,92.35 ,86.29 ,79.77 ,73.24 ,66.53 ,59.74 ,52.96 ,46.17 ,39.38 ,32.59 ,25.80 ,19.01 ,12.22 ,5.43 ,0.00 
315,0.00 ,43.56 ,73.44 ,84.99 ,95.41 ,99.10 ,93.12 ,87.10 ,80.99 ,74.87 ,68.25 ,61.31 ,54.36 ,47.40 ,40.43 ,33.46 ,26.49 ,19.52 ,12.55 ,5.58 ,0.00 
320,0.00 ,40.07 ,71.58 ,82.10 ,91.98 ,97.45 ,92.13 ,86.80 ,81.45 ,76.10 ,69.88 ,62.86 ,55.79 ,48.65 ,41.51 ,34.35 ,27.20 ,20.04 ,12.88 ,5.73 ,0.00 
325,0.00 ,35.63 ,66.51 ,76.78 ,86.54 ,93.57 ,89.68 ,85.59 ,81.33 ,77.03 ,71.47 ,64.44 ,57.32 ,49.98 ,42.65 ,35.30 ,27.95 ,20.60 ,13.24 ,5.89 ,0.00 
330,0.00 ,31.29 ,59.68 ,69.98 ,80.05 ,88.36 ,86.29 ,83.70 ,80.81 ,77.76 ,72.99 ,66.06 ,58.96 ,51.42 ,43.87 ,36.33 ,28.76 ,21.19 ,13.63 ,6.06 ,0.00 
335,0.00 ,27.51 ,52.44 ,62.95 ,73.37 ,82.72 ,82.49 ,81.40 ,80.10 ,78.35 ,74.40 ,67.69 ,60.64 ,52.91 ,45.14 ,37.36 ,29.58 ,21.80 ,14.01 ,6.23 ,0.00 
340,0.00 ,24.53 ,45.85 ,56.56 ,67.19 ,77.31 ,78.74 ,79.10 ,79.37 ,78.86 ,75.70 ,69.25 ,62.19 ,54.32 ,46.34 ,38.35 ,30.36 ,22.37 ,14.38 ,6.39 ,0.00 
345,0.00 ,22.40 ,40.55 ,51.36 ,62.04 ,72.56 ,75.45 ,77.12 ,78.76 ,79.37 ,76.90 ,70.66 ,63.53 ,55.61 ,47.43 ,39.26 ,31.08 ,22.90 ,14.72 ,6.54 ,0.00 
350,0.00 ,20.78 ,36.83 ,47.60 ,58.20 ,68.80 ,73.02 ,75.73 ,78.44 ,79.99 ,78.00 ,71.84 ,64.65 ,56.80 ,48.45 ,40.10 ,31.75 ,23.39 ,15.04 ,6.68 ,0.00 
355,0.00 ,19.55 ,34.63 ,45.27 ,55.80 ,66.24 ,71.63 ,75.12 ,78.54 ,80.75 ,79.05 ,72.83 ,65.67 ,57.97 ,49.47 ,40.94 ,32.41 ,23.88 ,15.35 ,6.82 ,0.00 
